pair,signal,entry_time,entry_price,exit_price,win,pnl
AUD/USD,PUT,2025-08-26 12:25:00,0.6885986757051062,0.6888141683306119,False,-100
AUD/USD,PUT,2025-08-30 05:00:00,0.6883097261330985,0.6885203200753645,False,-100
AUD/USD,PUT,2025-08-30 05:05:00,0.6883199028143748,0.6884091649868579,False,-100
AUD/USD,PUT,2025-08-30 05:10:00,0.6885122491643493,0.6882691290555539,True,85
AUD/USD,PUT,2025-08-30 05:15:00,0.6885178140098036,0.6881860041613148,True,85
AUD/USD,CALL,2025-09-05 08:35:00,0.6863553178302424,0.6865906030752299,True,85
AUD/USD,CALL,2025-09-05 08:40:00,0.6863718518046985,0.6865039628387885,True,85
AUD/USD,CALL,2025-09-05 08:45:00,0.6864710305026639,0.6865075948484706,True,85
AUD/USD,CALL,2025-09-05 08:50:00,0.686492278030318,0.686519110736669,True,85
AUD/USD,CALL,2025-09-05 08:55:00,0.686604009428483,0.686572703876031,False,-100
AUD/USD,CALL,2025-09-05 09:00:00,0.6865906030752299,0.6865765997094939,False,-100
AUD/USD,CALL,2025-09-05 09:05:00,0.6865039628387885,0.6865586150384854,True,85
AUD/USD,CALL,2025-09-05 09:10:00,0.6865075948484706,0.6866348290844461,True,85
AUD/USD,CALL,2025-09-05 09:15:00,0.686519110736669,0.6866258615257257,True,85
AUD/USD,CALL,2025-09-05 09:20:00,0.686572703876031,0.6866705048754732,True,85
AUD/USD,PUT,2025-09-07 15:25:00,0.6860772240104789,0.6862786155277365,False,-100
AUD/USD,PUT,2025-09-07 15:30:00,0.6861897854137341,0.686355858518858,False,-100
AUD/USD,PUT,2025-09-07 15:35:00,0.6862243901524016,0.6863835576020421,False,-100
AUD/USD,CALL,2025-09-09 13:20:00,0.6846332429098073,0.684510062576575,False,-100
AUD/USD,CALL,2025-09-09 13:25:00,0.6846338897941422,0.6844119391345328,False,-100
AUD/USD,CALL,2025-09-09 13:30:00,0.6846419512734663,0.6843647240317088,False,-100
AUD/USD,CALL,2025-09-09 13:35:00,0.6846092983367477,0.6843985105228921,False,-100
AUD/USD,PUT,2025-09-10 06:00:00,0.6833260904644671,0.6833914857413831,False,-100
AUD/USD,PUT,2025-09-10 06:05:00,0.6831743038192444,0.6833421980810157,False,-100
AUD/USD,PUT,2025-09-10 06:10:00,0.6832798438265603,0.6832988224301254,False,-100
AUD/USD,PUT,2025-09-10 06:15:00,0.6833726179493007,0.6833984353960688,False,-100
AUD/USD,PUT,2025-09-10 06:20:00,0.6833149543812027,0.6835484100765663,False,-100
AUD/USD,PUT,2025-09-10 06:25:00,0.6833914857413831,0.6834412620045718,False,-100
